Skills,Count
python,240
c,115
c++,103
linux,96
sql,73
go,59
distributed system,52
kubernetes,46
git,41
react,38
cloud,37
javascript,36
java,34
mysql,34
microsoft,34
docker,33
databases,31
restful api,29
aws,27
spark,27
splunk,26
jira,26
kafka,24
jenkins,22
css,20
c#,18
tableau,16
ruby,15
hadoop,15
unix,15
scala,15
puppet,14
shell,14
prometheus,14
numpy,13
scada,13
bash,12
transformers,12
confluence,12
ci/cd,12
perl,11
nosql,10
typescript,10
ios,10
r,10
elasticsearch,10
cli,8
oracle,8
pandas,8
nodejs,7